 --------- 2022-08-02 15:42:23 --------- 3 seconds -------- 8953.03803938748 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-600.0, -200.0], [0.0, 0.8]]
 --------- 2022-08-02 15:42:37 --------- 8 seconds -------- 21795.292185223196 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-1000.0, -600.0], [0.0, 0.8]]
 --------- 2022-08-02 15:42:46 --------- 8 seconds -------- 30057.1269409896 [[-1000.0, -600.0], [0.0, 2.0], [-1000.0, -600.0], [-1000.0, -600.0], [0.8, 1.6]]
 --------- 2022-08-02 15:44:51 --------- 31 seconds -------- 3177.1514506305484 [[-1000.0, -333.33333333333337], [0.0, 3.3333333333333335], [-1000.0, -333.33333333333337], [-1000.0, -333.33333333333337], [0.0, 1.3333333333333333]]
 --------- 2022-08-02 15:46:35 --------- 27 seconds -------- 66.99345866080951 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:47:02 --------- 27 seconds -------- 11005.971155996156 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 --------- 2022-08-02 15:47:30 --------- 27 seconds -------- 15.965000999190657 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 --------- 2022-08-02 15:47:58 --------- 27 seconds -------- 471.5117324324126 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 --------- 2022-08-02 15:48:30 --------- 5 seconds -------- 382.59250603139554 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:48:36 --------- 5 seconds -------- 13896.24122524276 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 --------- 2022-08-02 15:48:42 --------- 5 seconds -------- 6.386692645138976 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 --------- 2022-08-02 15:48:47 --------- 5 seconds -------- 1342.4607426388507 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 --------- 2022-08-02 15:48:53 --------- 5 seconds -------- 20.3432093302959 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:48:59 --------- 5 seconds -------- 5605.250396859121 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:04 --------- 5 seconds -------- 7.558472890742141 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 --------- 2022-08-02 15:49:10 --------- 5 seconds -------- 13903.652009510259 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:16 --------- 5 seconds -------- 1.5524005291874095 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:49:21 --------- 5 seconds -------- 3689497.4456524835 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:28 --------- 2 seconds -------- 42.315803787444764 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:49:31 --------- 2 seconds -------- 6002.970144151851 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:33 --------- 2 seconds -------- 15.599238101152542 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 --------- 2022-08-02 15:49:35 --------- 2 seconds -------- 7991.920809821085 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:38 --------- 2 seconds -------- 113.57061231460959 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:49:40 --------- 2 seconds -------- 33.73933157792079 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:42 --------- 2 seconds -------- 90.84461992981441 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 --------- 2022-08-02 15:49:44 --------- 2 seconds -------- 5884.05918387461 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:47 --------- 2 seconds -------- 5.469693775894543 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 --------- 2022-08-02 15:49:49 --------- 2 seconds -------- 5502692.143194246 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 --------- 2022-08-02 15:49:56 --------- 2 seconds -------- 437.30948466775595 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
